date,symbol,open,high,low,close,Volume BTC,Volume USD
2021-09-30 22:00:00,BTC/USD,43761.52,43928.38,43630.56,43753.88,58.66904274,2566998.25576083
2021-09-30 21:00:00,BTC/USD,43430.52,43797.95,43383.27,43763.22,44.71950129,1957069.37324455
2021-09-30 20:00:00,BTC/USD,43545.62,43774.92,43094.68,43430.25,94.65399372,4110846.61075803
2021-09-30 19:00:00,BTC/USD,44017.39,44117.74,43540,43540,136.20850981,5930518.5171274
2021-09-30 18:00:00,BTC/USD,43302.65,44038.28,43268.91,43996.67,142.25807152,6258881.42750184
2021-09-30 17:00:00,BTC/USD,42950.78,43417.19,42938.29,43339.55,97.10380237,4208435.09800473
2021-09-30 16:00:00,BTC/USD,43152.2,43221.59,42837.27,42943.11,68.25501799,2931082.74559655
2021-09-30 15:00:00,BTC/USD,43117.24,43516.97,42948.5,43152.31,92.78103729,4003716.08325964
2021-09-30 14:00:00,BTC/USD,43075,43196.52,42847.85,43104.39,157.76226123,6800246.0353398
2021-09-30 13:00:00,BTC/USD,43466.17,43586.33,43089.01,43089.01,207.09390436,8923471.31590708
2021-09-30 12:00:00,BTC/USD,43067.4,43766.11,43011.03,43436.88,215.16019183,9345887.43329669
2021-09-30 11:00:00,BTC/USD,42822,43133.85,42822,43086.49,44.16845858,1903063.84892258
2021-09-30 10:00:00,BTC/USD,43153.68,43315.94,42725,42819.24,70.03070478,2998661.55534397
2021-09-30 09:00:00,BTC/USD,43067.79,43301,42982.76,43152.28,149.06981831,6432702.53926225
2021-09-30 08:00:00,BTC/USD,43294.61,43460,42801,43068.78,176.00330269,7580247.52282902
2021-09-30 07:00:00,BTC/USD,43390.39,43468.64,43225,43290.72,80.28876769,3475758.56121284
2021-09-30 06:00:00,BTC/USD,43530.73,43676.75,43375,43390.39,90.98050526,3947679.60562845
2021-09-30 05:00:00,BTC/USD,43540.55,43700,43450,43505.54,154.19002465,6708120.28501156
2021-09-30 04:00:00,BTC/USD,43621.31,43835.09,43460.29,43516.55,114.63102453,4988346.71051097
2021-09-30 03:00:00,BTC/USD,43429,43731.58,43145.73,43580.52,102.9231966,4485446.42789023
2021-09-30 02:00:00,BTC/USD,43000,43428.95,42922.28,43428.95,66.10611479,2870919.15390917
2021-09-30 01:00:00,BTC/USD,42363.66,43168.35,42256.49,42987.19,108.01843984,4643409.19690565
2021-09-30 00:00:00,BTC/USD,41537.56,42401,41427.87,42365.55,97.85899809,4145850.2765318
2021-09-29 23:00:00,BTC/USD,41352.13,41566.37,41301.02,41542.9,22.63941513,940506.958804077
2021-09-29 22:00:00,BTC/USD,41255.64,41469.37,41086.59,41363.48,29.04271679,1201307.83508883
2021-09-29 21:00:00,BTC/USD,41111.44,41303.34,40964.35,41236.13,46.03751998,1898409.15877288
2021-09-29 20:00:00,BTC/USD,41175.95,41243.28,40900,41106.7,86.97211378,3575136.58952033
2021-09-29 19:00:00,BTC/USD,41302.54,41500.01,41148.96,41194.33,134.00913117,5520416.37243027
2021-09-29 18:00:00,BTC/USD,41200.23,41488.85,41038.49,41292.22,74.77011461,3087424.02190133
2021-09-29 17:00:00,BTC/USD,41481.96,41588.12,41200.23,41232.94,35.789923,1475723.74766362
2021-09-29 16:00:00,BTC/USD,41687.48,41807.1,41406.4,41499.02,84.2044049,3494400.2830332
2021-09-29 15:00:00,BTC/USD,42217.47,42250.87,41607.1,41689.07,122.55770695,5109316.82407804
2021-09-29 14:00:00,BTC/USD,42147.66,42274.39,42050.06,42217.47,50.4479227,2129783.66314957
2021-09-29 13:00:00,BTC/USD,42055.05,42189.34,41915.24,42147.96,73.78069145,3109705.63200694
2021-09-29 12:00:00,BTC/USD,42405.05,42595.93,41883.87,42050.05,169.09153582,7110307.53580779
2021-09-29 11:00:00,BTC/USD,42447.24,42447.24,42234.04,42405.05,122.99862867,5215762.99868278
